Course_Index,Course_Title,Course_Units,Course_Description,Course_Prerequisites,Major_Restriction,Course_Tags
CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning (4) Tag: Applications of,4.0,"The course will introduce important ideas and algorithms in search and reasoning and demonstrate how they are used in practical AI applications. Topics include A* search, adversarial search, Monte Carlo tree search, reinforcement learning, constraint solving and optimization, propositional and first-order reasoning. Prerequisites: CSE 12 or DSC 40B and CSE 15L or CSE 29 or DSC 80 and COGS 118D or CSE 103 or ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 181A or MATH 183 or MATH 186 and CSE 100 or CSE 100R; restricted to students within the CS25, CS26, CS27, CS28, EC26, and DS25 majors. All other students will be allowed as space permits.","[['CSE 12', 'DSC 40B'], ['CSE 15L', 'CSE 29', 'DSC 80'], ['COGS 118D', 'CSE 103', 'ECE 109', 'ECON 120A', 'MAE 108', 'MATH 180A', 'MATH 180B', 'MATH 181A', 'MATH 183', 'MATH 186'], ['CSE 100', 'CSE 100R']]",[],[]
CSE 151A,Machine Learning: Learning Algorithms (4) Tag: Applications of,4.0,"Broad introduction to machine learning. The topics include some topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting, and perceptrons; and topics in unsupervised learning, such as k-means and hierarchical clustering. In addition to the actual algorithms, the course focuses on the principles behind the algorithms. Students may not receive credit for both CSE 151A and COGS 188. May be coscheduled with CSE 251A. Prerequisites: CSE 12 or DSC 40B and CSE 15L or CSE 29 or DSC 80 and COGS 118D or CSE 103 or ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 181A or MATH 183 or MATH 186 and MATH 18 or MATH 31AH and MATH 20C or MATH 31BH; restricted to students within the CS25, CS26, CS27, CS28, EC26, and DS25 majors. All other students will be allowed as space permits.","[['CSE 12', 'DSC 40B'], ['CSE 15L', 'CSE 29', 'DSC 80'], ['COGS 118D', 'CSE 103', 'ECE 109', 'ECON 120A', 'MAE 108', 'MATH 180A', 'MATH 180B', 'MATH 181A', 'MATH 183', 'MATH 186'], ['MATH 18', 'MATH 31AH'], ['MATH 20C', 'MATH 31BH']]",[],[]
CSE 151B,Deep Learning (4) Tag: Applications of,4.0,"This course covers the fundamentals of deep neural networks at the undergraduate level. We introduce linear regression, multi-layer perceptrons, backpropagation, and automatic differentiation. We will also discuss convolutional neural networks, recurrent neural networks, and transformers. The course will be a combination of lectures, presentations, and machine learning competitions. Renumbered from CSE 154. Students may receive credit for one of the following: CSE 151B, CSE 154, or COGS 181. May be coscheduled with CSE 251B. Recommended preparation: knowledge of Python. Prerequisites: MATH 20C or MATH 31BH and BENG 134 or COGS 118D or CSE 103 or ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 181A or MATH 183 or MATH 186 or SE 125 and COGS 118A or COGS 118B or COGS 188 or CSE 151A or ECE 175A; restricted to students within the CS25, CS26, CS27, CS28, EC26, and DS25 majors. All other students will be allowed as space permits.","[['MATH 20C', 'MATH 31BH'], ['BENG 134', 'COGS 118D', 'CSE 103', 'ECE 109', 'ECON 120A', 'MAE 108', 'MATH 180A', 'MATH 180B', 'MATH 181A', 'MATH 183', 'MATH 186', 'SE 125'], ['COGS 118A', 'COGS 118B', 'COGS 188', 'CSE 151A', 'ECE 175A']]",[],[]
CSE 152A,Introduction to Computer Vision I (4) Tag: Applications of,4.0,"This course provides a broad introduction to the foundations, algorithms, and applications of computer vision. It introduces classical models and contemporary methods, from image formation models to deep learning, to address problems of 3-D reconstruction and object recognition from images and video. Topics include filtering, feature detection, stereo vision, structure from motion, motion estimation, and recognition. Programming assignments will be in Python. Students may not receive credit for both CSE 152A and CSE 152. Prerequisites: MATH 18 or MATH 31AH and CSE 12 or DSC 30 and CSE 15L or CSE 29 or DSC 80; Python programming experience recommended; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['MATH 18', 'MATH 31AH'], ['CSE 12', 'DSC 30'], ['CSE 15L', 'CSE 29', 'DSC 80']]",[],[]
CSE 152B,Introduction to Computer Vision II (4) Tag: Applications of,4.0,"This course covers advanced topics needed to apply computer vision in industry or follow current research. Example topics include real-time systems for 3-D computer vision, machine learning tools such as support-vector machine (SVM) and boosting for image classification, and deep neural networks for object detection and semantic segmentation. Prerequisites: CSE 152A or CSE 152 or CSE 166; Python programming experience recommended; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 152A', 'CSE 152', 'CSE 166']]",[],[]
CSE 156,Statistical Natural Language Processing (4) Tag: Applications of,4.0,"Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course will explore statistical techniques for the automatic analysis of natural language data. Specific topics covered include probabilistic language models, which define probability distributions over text passages; text classification; sequence models; parsing sentences into syntactic representations; and machine translation. Prerequisites: CSE 12 or DSC 40B and CSE 15L or CSE 29 or DSC 80 and BENG 134 or COGS 118D or CSE 103 or ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 181A or MATH 183 or MATH 186; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 12', 'DSC 40B'], ['CSE 15L', 'CSE 29', 'DSC 80'], ['BENG 134', 'COGS 118D', 'CSE 103', 'ECE 109', 'ECON 120A', 'MAE 108', 'MATH 180A', 'MATH 180B', 'MATH 181A', 'MATH 183', 'MATH 186']]",[],[]
CSE 158,Recommender Systems and Web Mining (4) Tag: Applications of,4.0,"Current methods for data mining and predictive analytics. Emphasis is on studying real-world data sets, building working systems, and putting current ideas from machine learning research into practice. Prerequisites: CSE 12 or DSC 40B and CSE 15L or CSE 29 or DSC 80 and BENG 100 or BENG 134 or COGS 118D or CSE 103 or ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 181A or MATH 183 or MATH 186; restricted to students within the CS25, CS26, CS27, CS28, EC26, and DS25 majors. All other students will be allowed as space permits. May be coscheduled with CSE 258. Students may not receive credit for CSE 158 and CSE 158R or DSC 148.","[['CSE 12', 'DSC 40B'], ['CSE 15L', 'CSE 29', 'DSC 80'], ['BENG 100', 'BENG 134', 'COGS 118D', 'CSE 103', 'ECE 109', 'ECON 120A', 'MAE 108', 'MATH 180A', 'MATH 180B', 'MATH 181A', 'MATH 183', 'MATH 186']]",[],[]
CSE 158R,Recommender Systems and Web Mining (4) Tag: Applications of,4.0,"Current methods for data mining and predictive analytics. Emphasis is on studying real-world data sets, building working systems, and putting current ideas from machine learning research into practice. Prerequisites: CSE 12 or DSC 40B and CSE 15L or CSE 29 or DSC 80 and BENG 100 or BENG 134 or COGS 118D or CSE 103 or ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 181A or MATH 183 or MATH 186; restricted to students within the CS25, CS26, CS27, CS28, EC26, and DS25 majors. All other students will be allowed as space permits. This course is a distance education course. May be coscheduled with CSE 258R. Students may not receive credit for CSE 158R and CSE 158 or DSC 148.","[['CSE 12', 'DSC 40B'], ['CSE 15L', 'CSE 29', 'DSC 80'], ['BENG 100', 'BENG 134', 'COGS 118D', 'CSE 103', 'ECE 109', 'ECON 120A', 'MAE 108', 'MATH 180A', 'MATH 180B', 'MATH 181A', 'MATH 183', 'MATH 186']]",[],[]
CSE 160,Introduction to Parallel Computing (4) Tag:,4.0,"Introduction to high performance parallel computing: parallel architecture, algorithms, software, and problem-solving techniques. Areas covered: Flynn’s taxonomy, processor-memory organizations, shared and nonshared memory models: message passing and multithreading, data parallelism; speedup, efficiency and Amdahl’s law, communication and synchronization, isoefficiency and scalability. Assignments given to provide practical experience. Prerequisites: CSE 100 or CSE 100R; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits","[['CSE 100', 'CSE 100R']]",[],[]
CSE 163,Advanced Computer Graphics (4) Tag: Applications of,4.0,"Topics include an overview of many aspects of computer graphics, including the four main computer graphics areas of animation, modeling, rendering, and imaging. Programming projects in image and signal processing, geometric modeling, and real-time rendering. Prerequisites: CSE 167; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.",[['CSE 167']],[],[]
CSE 165,3-D User Interaction (4) Tag: Applications of,4.0,"This course focuses on the design of three-dimensional (3-D) user interfaces, VR devices, and interaction techniques. The course consists of lectures, student presentations, and programming assignments. Students will be expected to create VR applications to learn how VR displays and 3-D interactions work. Prerequisites: CSE 167; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.",[['CSE 167']],[],[]
CSE 166,Image Processing (4) Tag: Applications of,4.0,"Principles of image formation, analysis, and representation. Image enhancement, restoration, and segmentation; stochastic image models. Filter design, sampling, Fourier and wavelet transforms. Selected applications in computer graphics and machine vision. Prerequisites: DSC 40B or MATH 18 or MATH 31AH and CSE 100 or CSE 100R or DSC 80.","[['DSC 40B', 'MATH 18', 'MATH 31AH'], ['CSE 100', 'CSE 100R', 'DSC 80']]",[],[]
CSE 167,Computer Graphics (4) Tag: Applications of,4.0,"Representation and manipulation of pictorial data. Two-dimensional and three-dimensional transformations, curves, surfaces. Projection, illumination, and shading models. Raster and vector graphic I/O devices; retained-mode and immediate-mode graphics software systems and applications. Students may not receive credit for CSE 167 and CSE 167R or MATH 155A. Prerequisites: CSE 100 or CSE 100R; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 100', 'CSE 100R']]",[],[]
CSE 167R,Computer Graphics (4) Tag: Applications of,4.0,"Representation and manipulation of pictorial data. Two-dimensional and three-dimensional transformations, curves, surfaces. Projection, illumination, and shading models. Raster and vector graphic I/O devices; retained-mode and immediate-mode graphics software systems and applications. This course is a distance education course. Students may not receive credit for CSE 167 and CSE 167R or MATH 155A. Prerequisites: CSE 100 or CSE 100R; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 100', 'CSE 100R']]",[],[]
CSE 168,Computer Graphics II: Rendering (4) Tag: Applications of,4.0,"Weekly programming assignments that will cover graphics rendering algorithms. During the course the students will learn about ray tracing, geometry, tessellation, acceleration structures, sampling, filtering, shading models, and advanced topics such as global illumination and programmable graphics hardware. Students may not receive credit for CSE 168 and CSE 168R. Prerequisites: CSE 167 or CSE 167R; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 167', 'CSE 167R']]",[],[]
CSE 168R,Computer Graphics II: Rendering (4) Tag: Applications of,4.0,"Weekly programming assignments that will cover graphics rendering algorithms. During the course the students will learn about ray tracing, geometry, tessellation, acceleration structures, sampling, filtering, shading models, and advanced topics such as global illumination and programmable graphics hardware. This course is a distance education course. Students may not receive credit for CSE 168R and CSE 168. Prerequisites: CSE 167 or CSE 167R; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 167', 'CSE 167R']]",[],[]
CSE 169,Computer Animation (4) Tag: Applications of,4.0,"Advanced graphics focusing on the programming techniques involved in computer animation. Algorithms and approaches for both character animation and physically based animation. Particular subjects may include skeletons, skinning, key framing, facial animation, inverse kinematics, locomotion, motion capture, video game animation, particle systems, rigid bodies, clothing, and hair. Recommended preparation: an understanding of linear algebra. Prerequisites: CSE 167; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.",[['CSE 167']],[],[]
CSE 170,Interaction Design (5) Tag: Applications of,5.0,"Introduces fundamental methods and principles for designing, implementing, and evaluating user interfaces. Topics include user-centered design, rapid prototyping, experimentation, direct manipulation, cognitive principles, visual design, social software, software tools. Learn by doing: Work with a team on a quarter-long design project. Students may not receive credit for COGS 120 and CSE 170. Recommended preparation: Basic familiarity with HTML. Prerequisites: COGS 108 or CSE 12 or DSC 30 and COGS 1 or COGS 10 or DSGN 1 or ENG 100D.","[['COGS 108', 'CSE 12', 'DSC 30'], ['COGS 1', 'COGS 10']]",[],[]
CSE 175,Successful Entrepreneurship for Engineers (4) Tag: Applications of,4.0,"A foundation course teaching the basics of starting and running a successful new business. Students learn how to think like entrepreneurs, pivot their ideas to match customer needs, with financial, market, timeline feasibility inputs. The end goal is an investor pitch and a business plan. Provides experiential education, encouragement, and coaching (E3CE) that prepares students for successful careers at start-up as well as large companies. Prerequisites: instructor approval required to ensure sufficient project experience to be successful in the course. No credit offered for CSE 175 if ECE 150 taken previously or concurrently.",[[]],[],[]
CSE 176A,Health Care Robotics (4) Tag: Applications of,4.0,"Robotics has the potential to improve well-being for millions of people and support caregivers and to aid the clinical workforce. We bring together engineers, clinicians, and end users to explore this exciting new field. The course is project-based, interactive, and hands-on, and involves working closely with stakeholders to develop prototypes that solve real-world problems. Students will explore the latest research in health care robotics, human-robot teaming, and health design. Program or materials fees may apply. Prerequisites: CSE 110 or CSE 170 or COGS 120.","[['CSE 110', 'CSE 170', 'COGS 120']]",[],[]
CSE 176E,Robot Systems Design and Implementation (4) Tag: Applications of,4.0,"End-to-end system design of embedded electronic systems including PCB design and fabrication, software control system development, and system integration. Program or materials fees may apply. May be coscheduled with CSE 276E. Prerequisites: restricted to junior and senior students; instructor approval required.","[[], []]",[],[]
CSE 180,Biology Meets Computing,4.0,Topics include an overview of various aspects of bioinformatics and will simultaneously introduce students to programming in Python. The assessments in the course represent various programming challenges and include solving diverse biological problems using popular bioinformatics tools. Students may not receive credit for CSE 180 and CSE 180R. Prerequisites: BILD 1 or BILD 4 or CSE 11 or CSE 3 or CSE 8A or CSE 8B.,"[['CSE 11', 'CSE 3', 'CSE 8A', 'CSE 8B']]",[],[]
CSE 180R,Biology Meets Computing,4.0,"Topics include an overview of various aspects of bioinformatics and will simultaneously introduce students to programming in Python. The assessments in the course represent various programming challenges and include solving diverse biological problems using popular bioinformatics tools. This will be a fully online class based on extensive educational materials and online educational platform Stepik developed with HHMI, NIH, and ILTI support. Students may not receive credit for CSE 180 and CSE 180R. Prerequisites: BILD 1 or BILD 4 or CSE 11 or CSE 3 or CSE 8A or CSE 8B.","[['CSE 11', 'CSE 3', 'CSE 8A', 'CSE 8B']]",[],[]
CSE 181,Molecular Sequence Analysis (4) Tag: Applications of,4.0,"This course covers the analysis of nucleic acid and protein sequences, with an emphasis on the application of algorithms to biological problems. Topics include sequence alignments, database searching, comparative genomics, and phylogenetic and clustering analyses. Pairwise alignment, multiple alignment, DNS sequencing, scoring functions, fast database search, comparative genomics, clustering, phylogenetic trees, gene finding/DNA statistics. Students may receive credit for one of the following: CSE 181, BIMM 181, or BENG 181. Prerequisites: CSE 100 or CSE 100R and CSE 101 and BIMM 100 or CHEM 114C; restricted to BE28, BI34, CH37, and CS27 majors. Students may receive credit for one of the following: CSE 181, BIMM 181, or BENG 181.","[['CSE 100', 'CSE 100R', 'CSE 101'], ['CHEM 114C']]","['BE28', 'BI34', 'CH37', 'CS27']",[]
CSE 182,Biological Databases (4) Tag: Applications of,4.0,"This course provides an introduction to the features of biological data, how those data are organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object oriented databases, data modeling and description. Survey of current biological database with respect to above, implementation of a database on a biological topic. Students may receive credit for one of the following: CSE 182, BENG 182, or BIMM 182. Prerequisites: CSE 100 or CSE 100R; restricted to BE28, BI34, CH37, and CS27 majors.","[['CSE 100', 'CSE 100R']]","['BE28', 'BI34', 'CH37', 'CS27']",[]
CSE 184,Computational Molecular Biology (4) Tag: Applications of,4.0,"This advanced course covers the application of machine learning and modeling techniques to biological systems. Topics include gene structure, recognition of DNA and protein sequence patterns, classification, and protein structure prediction. Pattern discovery, Hidden Markov models/support victor machines/neural network/profiles. Protein structure prediction, functional characterization or proteins, functional genomics/proteomics, metabolic pathways/gene networks. Cross-listed with BIMM 184/BENG 184/CHEM 184. Prerequisites: BIMM 181 or BENG 181 or CSE 181, BENG 182 or BIMM 182 or CSE 182 or CHEM 182. Bioinformatics majors only.","[['BENG 181', 'CSE 181', 'BENG 182', 'CSE 182', 'CHEM 182']]",[],[]
CSE 185,Advanced Bioinformatics Laboratory (4) Tag: Applications of,4.0,"This course emphasizes the hands-on application of bioinformatics to biological problems. Students will gain experience in the application of existing software, as well as in combining approaches to answer specific biological questions. Topics include sequence alignment, fast database search, comparative genomics, expression analysis, computational proteomics, genome-wide association studies, next-generation sequencing, genomics, and big data. Students may not receive credit for CSE 185 and BIMM 185. Restricted to CS27, BI34, BE28, and CH37 majors. Prerequisites: CSE 11 or CSE 8B and CSE 12 and MATH 20C or MATH 31BH and BILD 1 and BIEB 123 or BILD 4 or BIMM 101 or CHEM 109.","[['CSE 11', 'CSE 8B'], ['CSE 12'], ['MATH 20C', 'MATH 31BH'], [], ['CHEM 109']]","['CS27', 'BI34', 'BE28', 'CH37']",[]
CSE 190,Topics in Computer Science and Engineering,4.0,Topics of special interest in computer science and engineering. Topics may vary from quarter to quarter. May be repeated for credit with the consent of instructor. May be taken for credit up to three times. May be coscheduled with CSE 291. Prerequisites: consent of instructor. Department stamp required.,[[]],[],[]
CSE 191,Seminar in CSE,,"A seminar course on topics of current interest. Students, as well as the instructor, will be actively involved in running the course/class. This course cannot be counted toward a technical elective. Prerequisites: consent of instructor. Department stamp required.",[[]],[],[]
CSE 192,Senior Seminar in Computer Science and Engineering,1.0,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in CSE (at the upper-division level). Topics will vary from quarter to quarter. Senior seminars may be taken for credit up to four times, with a change in topic, and permission of the department. Enrollment is limited to twenty students, with preference given to seniors. (P/NP grades only.) Prerequisites: upper-division standing; department stamp required and consent of instructor.",[[]],[],[]
CSE 193,Introduction to Computer Science Research (4) Tag: Applications of,4.0,"Introduction to research in computer science. Topics include defining a CS research problem, finding and reading technical papers, oral communication, technical writing, and independent learning. Course participants apprentice with a CSE research group and propose an original research project. Prerequisites: consent of the department chair. Department stamp required.",[[]],[],[]
CSE 194,"Race, Gender, and Computing (4) Tag: Applications of",4.0,"This course explores the challenges of diversity, equity, and inclusion (DEI) in computing and technology through an introduction to and analysis of various social constructs and their impact on not only computing-related organizations, but also the technologies developed and the people affected by them. This course also introduces students to cultural competence in the context of computing. Prerequisites: AAS 10 or CSE 12 or ECE 35 or ETHN 3 or HILD 7A or LTEN 27 and CAT 125 or CAT 125R or CAT 3 or DOC 3 or HUM 2 or MCWP 125 or MCWP 125R or MCWP 50 or MCWP 50R or MMW 121 or MMW 121R or MMW 122 or MMW 13 or SYN 2 or WCWP 100 or WCWP 10B.","[['AAS 10', 'CSE 12', 'ECE 35', 'ETHN 3'], ['CAT 125', 'CAT 125R', 'CAT 3', 'DOC 3', 'HUM 2', 'MCWP 125', 'MCWP 125R', 'MCWP 50', 'MCWP 50R', 'MMW 121', 'MMW 121R', 'MMW 122', 'MMW 13', 'SYN 2', 'WCWP 100', 'WCWP 10B']]",[],[]
CSE 197,Field Study in Computer Science and Engineering,4.0,"Directed study accompanying full-time on-site computer science internships. (P/NP grades only.) Prerequisites: consent of the instructor and approval of the department required. Students may receive credit for one of the following: CSE 197 or CSE 197C. Restricted to CS25, CS26, CS27, and CS28 majors only.","[[], []]","['CS25', 'CS26', 'CS27', 'CS28']",[]
CSE 197C,Cooperative Practicum in Computer Science and Engineering,12.0,"Directed study accompanying full-time on-site computer science cooperative education practicum. Prerequisites: department approval. Restricted to CS25, CS26, and CS27 majors only. Students may receive credit for one of the following: CSE 197C or CSE 197.",[[]],"['CS25', 'CS26', 'CS27']",[]
CSE 198,Directed Group Study (2 or,,Computer science and engineering topics whose study involves reading and discussion by a small group of students under the supervision of a faculty member. (P/NP grades only.) Prerequisites: consent of the instructor. Department stamp required.,[[]],[],[]
CSE 199,Independent Study for Undergraduates (2 or,,Independent reading or research by special arrangement with a faculty member. (P/NP grades only.) Prerequisites: consent of the instructor. Department stamp required.,[[]],[],[]
CSE 199H,CSE Honors Thesis Research for Undergraduates,4.0,Undergraduate research for completing an honors project under the supervision of a CSE faculty member. May be taken across multiple quarters. Students should enroll for a letter grade. May be taken for credit three times. Prerequisites: Admission to the CSE department honors program. Consent of the instructor. Department stamp required.,[[]],[],[]
